"upload_plugin","Upload Plugin"
"pagespervisit","Pages / Visit"
"average_timeonsite","Av. Time on Site"
"bouncerate","Bounce Rate"
"link_sources","Link Sources"
"google_crawling_issues","Google Crawler Issues (Click on row to view details)"
"detail","Detail"
"crawling_issues","Crawling Issues"
"internal_keywords","Internal Keywords"
"external_keywords","External Keywords"
"google_webmastertools","Google Webmastertools"
"verification_filename_text","Verification Filename<br /><small>required for verification</small>"
"analytics_notice","Please read the documentation about the Google Analytics integration first, for the advanced mode you have to modify the Google Analytics settings."
"outputcache_lifetime_description","Optional output-cache lifetime (in seconds) after the cache expires, if not defined the cache will be cleaned on every action inside the CMS, otherwise not (for high traffic sites)"
"exclude_patterns_description","Regular Expressions like /^\/dir\/toexplude/"
"analytics_trackid_code","Track-ID (eg. UA-XXXXX-X)<br /><small>required for code integration</small>"
"analytics_settings_profile_description","Before you can select a profile you have to define your Google Analytics credentials for the account in the system settings (Google-Credentials) or in the fields below."
"report_settings","Report Settings"
"overview","Overview"
"visitor_overview","Visitor Overview"
"other","Other"
"google_analytics","Google Analytics"
"select_a_report","Select a Report"
"reports_and_marketing","Marketing & Reports"
"multiselect","Multiselection",
"handler","Handler"
"invisible","Invisible"
"only_configured_languages","Show only in system settings configured languages"
"forms","Forms"
"add_form_component","Add Form Component"
"save_only_scheduled_tasks","Save only scheduled tasks"
"minify_javascript_algorithm","Javascript minification algorithm"
"modified_assets","Modified Assets"
"modification_statistic","Changes in the last 31 days"
"minify_javascript","Minify Javascript"
"minify_css","Minify CSS"
"content","Content"
"add_portlet","Add Portlet"
"system_statistics","System Statistics"
"modified_documents","Modified Documents"
"modified_objects","Modified Objects"
"welcome","Welcome"
"save_and_publish","Save & Publish"
"delete","Delete"
"save","Save"
"your_asset_has_been_saved_successfully","Your asset has been saved successfully!"
"add_assets","Add asset(s)"
"preview","Preview"
"edit_image","Edit Image"
"simple","Simple"
"advanced","Advanced"
"basic","Basic"
"permissions","Permissions"
"assets_permissions","Assets Permissions"
"documents_permissions","Documents Permissions"
"objects_permissions","Objects Permissions"
"username","Username"
"list","List"
"view","View"
"publish","Publish"
"rename","Rename"
"create_childs","Create Children"
"settings","Settings"
"properties","Properties"
"versions","Versions"
"add","Add"
"date","Date"
"user","User"
"note","Note"
"available_versions","Available Versions"
"controller_and_view_settings","Controller and View Settings"
"email_from","From"
"email_subject","Subject"
"email_to","To"
"email_cc","CC"
"email_bcc","BCC"
"email_receive_empty_text","Recipients"
"email_settings","Email Settings"
"email_settings_receiver_description","Multiple recipients can be specified by separating the email addresses with a semicolon. <br/>Example: receiver@pimcore.org; receiver2@pimcore.org"
"email_logs","Sent Emails"
"email_log_from","From"
"email_log_to","To"
"email_log_cc","Cc"
"email_log_bcc","Bcc"
"email_log_sent_Date","Date sent"
"email_log_subject","Subject"
"email_log_show_html_email","Show HTML email"
"email_log_show_text_email","Show Text email"
"email_log_iframe_title_html","HTML version of the email"
"email_log_iframe_title_text","Text version of the email"
"email_log_show_text_params","Show dynamic params"
"email_log_iframe_title_params","Dynamic params"
"email_log_html","HTML"
"email_log_text","Text"
"email_log_params","Dynamic params"
"predefined_document_type","Predefined Document Type"
"controller","Controller"
"module","Module"
"action","Action"
"actions","Actions"
"template","Template"
"path_and_key_settings","Path and Key Settings"
"path","Path"
"key","Key"
"id","ID"
"name_and_meta_data","Name & Metadata"
"name","Name"
"title","Title"
"description","Description"
"keywords","Keywords"
"your_document_has_been_saved","Your document has been saved successfully!"
"unpublish","Unpublish"
"internal_link","Internal Link"
"link_properties","Link Settings"
"target","Target"
"type","Type"
"external_link","External Link"
"add_folder","Add Folder"
"edit_filename","Edit Filename"
"please_enter_the_name_of_the_folder","Please enter the name of the folder"
"upload_your_files_press_shift_to_select_multiple_files","Upload your files, press ""Shift"" to select multiple files"
"please_enter_the_new_name","Please enter the new name:"
"the_filename_is_already_in_use","The filename is already in use in this level, please choose a different one."
"add_page","Add Page"
"add_snippet","Add Snippet"
"add_email","Add Email"
"add_link","Add Link"
"copy","Copy"
"paste","Paste"
"edit_key","Edit Key"
"use_this_as_document_root_for_new_site","Use this as Document-Root for a new site"
"please_enter_the_domains_for_the_new_site","Please enter the domain(s) [comma separated] for the new site"
"edit_site","Edit Site"
"please_enter_the_domains_for_the_site","Please enter the domain(s) [comma separated] for the site"
"please_enter_the_new_key","Please enter the new key:"
"the_key_is_already_in_use_in_this_level_please_choose_an_other_key","The key is already in use in this level, please choose a different key."
"close_all_tabs","Close all tabs"
"search","Search"
"import","Import"
"export","Export"
"clear_cache","Clear Cache"
"extensions","Extensions"
"backup","Backup"
"glossary","Glossary"
"document_types","Document Types"
"predefined_properties","Predefined Properties"
"users","Users"
"profile","User profile"
"you_are_not_allowed_to_manage_admin_users","You are not allowed to manage admin users"
"my_profile","My Profile"
"system","System"
"update","Update"
"documentation","Documentation"
"report_bugs","Report Bugs"
"about","About"
"file","File"
"extras","Extras"
"help","Help"
"configuration","Configuration"
"content_type","Content-Type"
"value","Value"
"new_property","New Property"
"add_a_predefined_property_set","Add a predefined Property Set"
"select_a_property","Select a Property"
"add_a_custom_property","Add a custom Property"
"all_users","All Users"
"general","General"
"admin","Admin"
"password","Password"
"language","Language"
"please_enter_the_name","Please enter the name:"
"new_document_type","New Document Type"
"system_settings","System Settings"
"timezone","Timezone"
"mysql_database","MySQL Database"
"host","Host"
"database_name","Database Name"
"database_port","Database Port"
"chmod_folder","CHMOD Folder"
"chmod_files","CHMOD Files"
"hostname_for_webdav","Hostname for WebDAV"
"api_key","API Key"
"secret","Secret"
"client_id","Client ID"
"image_thumbnails","Image Thumbnails"
"thumbnails","Thumbnails"
"quality","Quality"
"interlace","Interlace"
"aspect_ratio","Aspect Ratio"
"format","Format"
"trees","Trees"
"documents","Documents"
"assets","Assets"
"upload","Upload"
"width","Width"
"height","Height"
"empty","Empty"
"workflow","Workflow"
"modify","Modify "
"create","Create "
"edit","Edit"
"logout","Logout"
"cache","Cache"
"temporary_files","Temporary files"
"clear_temporary_files","Clear temporary files"
"store_version_history_in_days","Store version history for x Days"
"store_version_history_in_steps","Store version history for x Steps"
"refresh","Refresh"
"classes","Classes"
"static_routes","Static Routes"
"add_class","Add Class"
"enter_the_name_of_the_new_class","Please specify the name of the new class"
"layout","Layout"
"add_layout_component","Add Layout Component"
"add_data_component","Add Data Component"
"accordion","Accordion"
"fieldset","Fieldset"
"panel","Panel"
"tabpanel","Tabpanel"
"pattern","Pattern"
"variables","Variables"
"defaults","Defaults"
"input","Input"
"checkbox","Checkbox"
"textarea","Textarea"
"wysiwyg","WYSIWYG"
"numeric","Number"
"href","Href"
"image","Image"
"select","Select"
"objects","Objects"
"structured","Structured"
"geo","Geographic"
"base","Base"
"default_controller","Default controller"
"default_action","Default action"
"error_pages","Error Pages"
"no_preview_available","Sorry, no preview available"
"add_object","Add object"
"basic_configuration","Basic configuration"
"allow_inherit","Allow inheritance"
"parent_class","Parent class"
"general_settings","General Settings"
"layout_settings","Layout Settings (Pimcore Admin)"
"region","Region"
"border","Border"
"collapsible","Collapsible"
"display_layout_to_users","Show layout only to these users"
"allowed_classes","Allowed classes"
"display_name","Display name"
"not_editable","Not editable"
"floating","Element floating"
"index","Indexed"
"mandatoryfield","Mandatory field"
"use_as_site","Use as site"
"edit_domains","Edit Domains"
"remove_site","Remove Site"
"text","Text"
"document","Document  "
"asset","Asset"
"bool","Bool"
"object","Object"
"remove","Remove "
"your_object_has_been_saved","Your object has been saved"
"hidden_dependencies","There are additional dependencies your user does not have the permissions to see."
"loading","Loading"
"open","Open"
"pimcore_setup","Installer"
"pimcore_setup_not_allowed","pimcore seems to be installed already. Re-installing is not possible."
"pimcore_setup_not_ready","Errors occurred. Pimcore is not ready for setup"
"db_settings_found","INFO: Database settings found."
"db_already_setup","INFO: Could connect to DB."
"could_not_create_tables","ERROR: Import of DB dump failed."
"could_not_create_dir_for_log","ERROR! Could not create directory for log file"
"could_not_write_log","ERROR! log file not writeable. Please adjust permissions."
"system_xml_not_writeable","ERROR! System.xml is not writeable."
"system_xml_dir_not_writeable","ERROR! The directory website/var/config is not writeable."
"system_xml_exists","Warning! The file website/var/config/system.xml already exists and will be overwritten by the installer."
"could_not_verify_db_encoding","ERROR! DB character set could not be determined."
"wrong_db_encoding","ERROR! DB character set is not set to utf8."
"no_db_connection","ERROR! DB connection could not be established."
"db_adapter_unknown","ERROR! DB-adapter is unknown."
"could_not_create_admin_user","ERROR! Admin user could not be created."
"add_user","Add User"
"could_not_write_system_xml","ERROR! system.xml could not be created."
"pimcore_setup_completed","pimcore Setup completed successfully!"
"submit","Submit"
"steps_description","If you want to use steps for versioning instead of days, please leave days empty."
"days","Days"
"steps","Steps"
"adapter","Database adapter"
"dbname","Database Name"
"database","Database"
"version_days","Days for versioning"
"version_steps","Steps for versioning"
"problem_creating_new_class","There was an error, please be sure that the name of the class is at least 3 characters."
"seemode","Seemode"
"edit_current_page","Edit this page"
"close","Close"
"name_already_in_use","Name is already in use"
"name_and_key_must_be_defined","Name and Type must be defined"
"mandatory_field_empty","Please fill all mandatory fields"
"plugins","Plugins"
"plugin_info","Plugin Info"
"available_plugins","Available Plugins"
"settings_plugins","Options"
"plugin_classname","Plugin class name"
"plugin_includepaths","Plugin include paths"
"plugin_namespaces","plugin namespaces"
"plugin_jspaths","plugin JavaScript files"
"plugin_csspaths","plugin CSS files"
"install","Install"
"uninstall","Uninstall"
"plugin_uninstall_warning","Do you really want to uninstall this plugin? WARNING! All data of this plugin is going to be deleted!"
"some_fields_cannot_be_saved","Some fields cannot be saved."
"icon_path","Path to icon"
"reload","Reload"
"plugin_needs_reload","This plugin requires a reload of the user interface in order to be fully functional. Do you want to reload now?"
"plugin_installing_please_wait", "Plugin is being installed, please wait ... "
"schedule","Schedule"
"time","Time"
"version", "Version"
"active", "Active"
"success","Success"
"successful_saved_document","Your document has been saved"
"error_moving_document","Your document could not be moved."
"translations","Website Translations"
"translations_admin","Admin Translations"
"debug_description","With debug-mode on errors and warnings are displayed directly in the browser, otherwise they are deactivated and the error-controller is active (Error Page). Multiple IP addresses can be specified by separating them with a comma."
"icon","Icon"
"add_document","Add document"
"please_enter_the_name_of_the_new_document","Please enter the name of the new document"
"successful_saved_asset","Successfully saved asset"
"error_saving_asset","Asset couldn't be saved"
"error_saving_document","Document couldn't be saved"
"error_saving_object","Object couldn't be saved"
"please_enter_the_name_of_the_new_object","Please enter the name of the new Object"
"slider","Slider"
"name_not_valid","Name is not valid"
"filename_not_valid","Name is not valid"
"firstname","Firstname"
"lastname","Lastname"
"email","Email"
"cant_move_node_to_target","Moving node not possible"
"error_moving_object","Object could not be moved"
"error_pasting_document", "The document could not be pasted to this location."
"error_creating_object", "Could not create object."
"error_creating_document", "Could not create document"
"domain","Domain (eg. example.org)"
"translations_are_not_configured","Translation are not configured"
"read_more_here","Read more about here"
"admin_theme","Admin-Theme"
"publish_version","Publish version"
"no_version","no version available"
"save_only_new_version","Only save new version"
"there_is_a_newer_not_published_version","There is a newer not published version"
"datetime","Date & Time"
"google_credentials_and_api_keys","Google Credentials & API Keys"
"default_value","Default value"
"button","Button"
"priority","Priority"
"from","From"
"to","To"
"start","Start"
"end","End"
"location","Location"
"every","Every"
"su","Su"
"mo","Mo"
"tu","Tu"
"we","We"
"th","Th"
"fr","Fr"
"sa","Sa"
"categories","Categories"
"multihref","Multi-Href"
"session_error_text","It seems there is a problem with your session. We recommend to reload this page in order to be save, but you can try to save your changes first."
"session_error","Session Error"
"update_successful","Update successful!"
"select_plugin_update","Select plugin update"
"select_update","Select update"
"stable_updates","Available stable updates"
"non_stable_updates","Available non-stable updates"
"looking_for_updates","Pimcore is looking for newer versions<br />Depending on your build this can take a while."
"please_wait","Please wait ..."
"latest_version_already_installed","You have installed the latest version."
"latest_pimcore_version_already_installed","You have installed the latest version of pimcore."
"plugin_update_error","There was an error, please check permissions, or try later.<br /><br />"
"update_error","There was an error.<br /><br />"
"downloading_packages","Downloading packages ..."
"start_update","Start Update"
"update_in_progress","Update in progress ..."
"plugindownload","Download Plugins"
"download_plugins","Download Plugins"
"download","Download"
"revision","Build"
"plugin_downloaded","Plugin Downloaded"
"plugin_downloaded_info","Plugin has been added. Please see tab available plugins to install the plugin."
"plugin_download_failed","Download failed"
"plugin_download_failed_info","Plugin download failed. Please check permissions!"
"plugin_repositories","Plugin Servers (comma separated)"
"inheritable","Inheritable"
"table","Table"
"rows","Rows"
"cols","Columns"
"data","Data"
"redirects","Redirects"
"source","Source"
"language_admin","Default-Language in Admin-Interface"
"valid_languages_frontend","Valid languages for content (eg.: de,en)"
"link","Link"
"abbr","Abbr."
"acronym","Acronym"
"downloading_plugin","Downloading Plugin ... "
"cache_enabled","Enable"
"exclude_patterns","Exclude Patterns"
"stop","Stop"
"outputfilters","Outputfilters"
"image_datauri_filter","Image DataURI"
"dependencies","Dependencies"
"requires","Requires"
"required_by","Required By"
"search_edit","Search, Edit and Export"
"subtype","Subtype"
"minify_html","Minify HTML"
"initializing","Initializing ..."
"backup_error","There was an error while backing up"
"plugin_dir_error","The plugin directory does not exist or is not writable."
"user_save_success","User profile data saved successfully."
"user_save_error","User profile data could not be saved."
"system_settings_save_success","System settings saved successfully."
"system_settings_save_error","System settings could not be saved."
"maintenance_not_active","It seems that the maintenance isn't set up properly"
"mail_settings_incomplete","It seems that the mail settings are incomplete"
"cover","Cover"
"contain","Contain"
"please_select_a_type","Please select a type"
"min_value","min. Value"
"max_value","max. Value"
"increment","Increment Step"
"vertical","Vertical"
"filter","Filter"
"add_filter","Add filter"
"field","Field"
"operator","Operator"
"apply","Apply"
"clear_filter","Clear filter"
"output_cache","Output-Cache"
"lifetime","Lifetime"
"country","Country"
"show","Show"
"public","Public"
"maximum_2_versions","You can compare max. 2 versions"
"error","Error"
"element_is_locked","The desired element is currently opened by another person:"
"element_lock_message","The desired element is currently opened by another person:"
"element_lock_question","Would you like to open it anyway?"
"since","Since"
"longitude","Longitude"
"latitude","Latitude"
"zoom_level","Zoom level"
"map_type","Map type"
"roadmap","Roadmap"
"satellite","Satellite"
"hybrid","Hybrid"
"geopoint","Geographic Point"
"google_api_key_simple","Google API Key (Simple API Access for Maps, CSE, ...)"
"google_api_key_service","Google API Credentials (Service Account Client ID for Analytics, ...)"
"cancel","Cancel"
"current_address","Current Address"
"open_search_editor","Open Search Editor"
"parameters","Parameters"
"anchor","Anchor"
"accesskey","Accesskey"
"relation","Relation"
"tabindex","Tab-Index"
"not_set","not set"
"document_restrictions","Document Restrictions"
"asset_restrictions","Asset Restrictions"
"object_restrictions","Object Restrictions"
"allow_documents","allow Documents"
"allow_assets","allow Assets"
"allow_objects","allow Objects"
"allowed_types_hint","(empty = allow all)"
"allowed_document_types","Allowed Document Types"
"allowed_asset_types","Allowed Asset Types"
"export_csv","CSV Export"
"import_csv","CSV Import"
"show_welcome_screen","Show welcome screen on startup"
"edit_user_permissions","Edit user permissions"
"plugin_misconfiguration","Cannot open plugins. Please check permissions on plugin folder and plugin server in system settings"
"plugin_repositories_description","Specify one or more plugin servers to which pimcore connects to download and update plugins"
"website","Website"
"plugin_build","plugin build"
"permission_overwrite_children","Save & Force on children"
"permission_reset","Reset"
"superselectbox_empty_text","Please enter your desired value and hit return key"
"valid_languages_frontend_empty_text","Please choose the valid system languages"
"language_download","Download System Languages"
"language_downloaded","Language File Downloaded"
"language_downloaded_info","The language file has been installed successfully. You need to reload pimcore before the language becomes available. Do you want to reload pimcore now? "
"language_download_failed","Download System Language Failed"
"language_download_failed_info","The language file could not be downloaded."
"language_translation_percentage","translated"
"downloading_language","Downloading language file ..."
"user_creation_error","Could not create user"
"duplicate_username","user and user group names must be unique!"
"importFileHasHeadRow","first row = headline"
"log_messages_user_mail_description","Email recipient of messages for activated log levels. This must be an admin user with a email address. Please make sure that the email settings are provided correctly if you want to use email logging."
"log_messages_user_mail_recipient","Log messages email recipient"
"loglevels", "Log Levels"
"loglevels_description","The levels checked will be logged to website/var/log/debug.log. The most critical errors are always logged, they should not be deactivated."
"email_settings","Email Settings"
"email_senderemail","Sender Email"
"email_sendername","Sender Name"
"email_returnemail","Return Email"
"email_returnname","Return Name"
"email_method","Email Method"
"email_smtp_host","SMTP Host"
"email_smtp_port","SMTP Port"
"email_smtp_name","SMTP Name"
"email_smtp_auth_method","SMTP Authentication Method"
"no_authentication","No Authentication"
"email_smtp_auth_username","SMTP Username"
"email_smtp_auth_password","SMTP Password"
"email_smtp_ssl","SMTP Transport Security"
"email_debug_addresses","Debug Email Addresses"
"email_debug_addresses_empty_text","Enter a list of email addresses that are allowed to receive debug emails."
"email_debug_domains","Debug email domains"
"email_debug_domains_empty_text","Enter a list of domains (e.g. pimcore.org) that are allowed to receive debug emails. All email addresses form this domains are allowed to receive debug emails."
"no_ssl","-"
"user_settings","User Settings"
"error_deleting_object","Could not delete object"
"user_object_dependencies","User - Object Dependencies"
"user_object_dependencies_description","This user is referenced in the following objects:"
"overwrite_object_with_same_key","Overwrite"
"overwrite_object_with_same_key_description","When overwrite is checked, instead of creating a new object for each import row, objects with the same key are replaced. Existing objects in your import folder with keys not contained in the import file will remain untouched. Please be aware that all objects which have a matching key in the import file will be replaced in the target folder. This is also true for objects based on a different class or even object folders! Object fields which are set to ignore in the field mapping keep their old value."
"object_import_filename_description","select the field which is used to generate the object key"
"save_pubish_close","Save,publish and close"
"save_close","Save and close"
"webservice","Web Service API (Beta Feature)"
"webservice_enabled","Web Service API enabled"
"webservice_description","Enabling the web service allows all admin users to access the pimcore REST API. Please check the pimcore wiki to find out how the token needs to be generated."
"user_admin_description","Admin users do not only automatically gain all permissions listed below, they are also allowed to perform all actions on documents, assets and objects without any restrictions."
"user_apikey_change_warning","Please be aware that changing the password also changes the web service API key."
"user_apikey_description","API key required for web service access by this user"
"apikey","API Key"
"successful_publish_document","Your document has been published"
"successful_unpublish_document","Your document has been unpublished"
"error_publish_document","Your document could not be published"
"error_unpublish_document","Your document could not be unpublished"
"successful_publish_object",Your object has been published"
"successful_unpublish_object","Your object has been unpublished"
"error_publish_object","Your object could not be published"
"error_unpublish_object","Your object could not be unpublished"
"error_general","Server threw exception - could not perform action. Please reload the admin interface and try again."
"missing_permission","Missing permission for this action"
"lazy_loading","lazy loading"
"lazy_loading_description","Lazy loading means that related objects are not loaded initially when the object is instantiated. When accessing the object programmatically, relations are only loaded when the according get method is called."
"lazy_loading_activated","(lazy loading activated)"
"non_owner_description","Non owner objects represent relations to an other object just in the same way as objects do. The difference is, that a non-owner object field is not the owner of the relation data, it is merely a view on data stored in other objects. Please choose the owner and field name where the data is originally stored."
"owner_class","Owner class"
"owner_field","Owner field"
"nonownerobject_warning","The current object is not the owner of these relations, making changes here might make saving the object slow"
"element_implicit_edit_question","Would you still like to implicitly  modify it with this action?"
"element_is_open","Referenced element is already open"
"element_open_message","The desired element is already open for editing."
"nonownerobjects","Objects (Non Owner)"
"nonownerobjects_self_selection","In non owner objects a  relation to myself is not possible, please use original field instead of non owner field."
"warning","Warning"
"csv_object_export_warning","Please note that the CSV export does not support all data types. Consequently, re-importing an export CSV to pimcore might lead to data loss. Press OK to continue with export."
"Initializing","Initializing"
"import_archive","Archive Import"
"export_archive","Export (Archive)"
"element_export_skip_root","Export only child elements"
"element_export_recursive","Include child elements"
"element_export_include_relations","Include referenced elements"
"exporting_elements","Exporting Elements ..."
"export_items_finished","Items finished"
"element_import_settings","Import Settings"
"element_import_overwrite","Overwrite element if path exists"
"importing_elements", "Importing Elements ... "
"element_import","Element Import"
"element_import_finished","Import Finished"
"element_import_finished_hint","All elements have been imported successfully. If related elements were included, pimcore tried to restore them to their original path. If that path does not exist, pimcore restored them to the root folder"
"error_renaming_object","There was an error while renaming the object."
"element_import_import","import elements - rename in case of duplicate paths"
"navigation_settings","Navigation Settings"
"navigation_enhanced","Enhanced Navigation Settings"
"navigation_target","Target"
"navigation_basic","Basic Navigation Settings"
"further_navigation_settings","More Navigation Settings"
"navigation_exclude","Exclude from Navigation"
"allow_variants","Allow variants"
"show_variants","Show variants in tree"
"variants","Variants"
"variant","Variant"
"add_variant","Add variant"
"please_enter_the_name_of_the_new_variant","Please enter the name of the new variant"
"remove_variant","Remove variant"
"remove_variant_text","Do you really want to remove this variant"
"error_creating_variant","Error creating variant"
"prevented creating object because object with same path+key already exists","Creating was not possible because variant or object with same path+key already exists"
"allowed_class_field","Allowed class/field"
"swf_upload_text_add","Add File(s)"
"swf_upload_text_upload","Upload File(s)"
"swf_upload_text_cancel","Cancel Upload"
"swf_upload_text_clear","Clear Queue"
"swf_upload_text_progressbar","Progress Bar"
"swf_upload_text_remove","Remove File"
"swf_upload_text_remove_sure","Are you sure you wish to remove this file from queue?"
"swf_upload_text_error","Error"
"swf_upload_text_uploading","Uploading file: {0} ({1} of {2})"
"swf_upload_header_filename","Filename"
"swf_upload_header_size","Size"
"swf_upload_header_status","Status"
"swf_upload_status_queued","Queued"
"swf_upload_status_uploading","Uploading..."
"swf_upload_status_completed","Completed"
"swf_upload_status_error","Error"
"swf_upload_status_cancelled","Cancelled"
"swf_upload_error_queue_exceeded","The selected file(s) exceed(s) the maximum number of {0} queued files."
"swf_upload_error_queue_slots_0","There is no slot left"
"swf_upload_error_queue_slots_1","There is only one slot left"
"swf_upload_error_queue_slots_2","There are only {0} slots left"
"swf_upload_error_size_exceeded","The selected files size exceeds the allowed limit of {0}."
"swf_upload_error_zero_byte_file","Zero byte file selected."
"swf_upload_error_invalid_filetype","Invalid filetype selected."
"swf_upload_error_file_not_found","File not found 404."
"swf_upload_error_security_error","Security Error. Not allowed to post to different url"
"delete_message_dependencies","There are dependencies, delete anyway?"
"delete_message","Do you really want to delete this element?"
"delete_message_batch","Do you really want to delete these elements?"
"objectbricks","Objectbricks"
"add_objectbrick","Add Objectbrick"
"delete_objectbrick","Delete Objectbrick"
"delete_objectbrick_text","Do you really want to delete the selected objectbrick?"
"class_definitions","Class definitions"
"enter_the_name_of_the_new_objectbrick","Enter the name of the new Objectbrick"
"no_further_objectbricks_allowed","No further objectbricks allowed"
"problem_creating_new_objectbrick","Problem with creating a new Objectbrick"
"structuredTable","Structured Table"
"position","Position"
"structuredtable_type_number","Number"
"structuredtable_type_text","Text"
"structuredtable_type_bool","Checkbox"
"structuredtable_invalid_key","Invalid Key"
"data_width","Data Columns Width"
"grid_current_language","Current Language"
"grid_column_config","Column configuration"
"selected_grid_columns","Selected grid columns"
"object_columns","Object columns"
"system_columns","System columns"
"columns","columns"
"children_grid","Children Grid"
"only_children","just direct child objects"
"hotspotimage_add_selector","Add Hotspot"
"hotspotimage_enter_name_of_new_hotspot","Enter name of new Hotspot"
"hotspotimage","Image with Hotspots"
"hotspotimage_no_image","Please define an image first"
"objectsMetadata_allowed_class","Allowed Class"
"objectsMetadata_visible_fields","Visible Fields"
"objectsMetadata_type_number","Number"
"objectsMetadata_type_text", "Text"
"objectsMetadata_type_bool", "Bool"
"objectsMetadata_type_select", "Select"
"objectsMetadata","Objects with Metadata"
"objectbrick_saved_successfully", "Object brick saved successfully"
"cut", "Cut"
"paste_cut_element", "Paste cut element"
"file_explorer_saved_file_success","Saved successfully"
"file_explorer_saved_file_error","Cannot save file"
"reserved_field_names_error","Please do not use the following reserved field names: "
"use_current_date","Use current date"
"default_value_warning","Default values are not stored in the database table definition, nor are they set in empty Object instances. They are only available in the pimcore GUI"
"gui_default_value","Unstored default value"
"memorize_tabs","Memorize open tabs"
"change_type","Change type"
"keyvalue_menu_config","KeyValue Config"
"keyValue_datatype","Key/Value"
"keyValue_groups","Groups"
"keyValue_properties","Key Definition"
"keyValue_add_group","Add Group"
"keyvalue_mbx_entergroup_title","New Group"
"keyvalue_mbx_entergroup_prompt","Enter name"
"keyvalue_mbx_enterkey_title","New Key"
"keyvalue_mbx_enterkey_prompt","Enter name"
"keyvalue_error_addgroup_title","Error"
"keyvalue_error_addgroup_msg","Error adding group"
"keyvalue_error_addkey_title","Error"
"keyvalue_error_addkey_msg","Error adding Key"
"keyvalue_configuration","Configuration"
"keyvalue_invalidname","Invalid name"
"keyvalue_save_success","Your config has been saved"
"keyvalue_save_error","Your config could not be saved"
"keyvalue_no_keys","No keys found"
"keyvalue_no_groups","No groups found"
"keyvalue_detailed_configuration","Detailed Configuration"
"keyvalue_unit","Unit"
"keyvalue_find_group","Find Group"
"keyvalue_select_group","Select Group"
"keyvalue_define_select_values","Define possible values"
"keyvalue_define_select_values_error","Only available for type 'select' and 'translated'"
"keyvalue_dialog_keygroup_search","Key/Group Search"
"keyvalue_tag_title","Key/Value"
"keyvalue_tag_col_keyName","Key"
"keyvalue_tag_col_keyDesc","Description"
"keyvalue_tag_col_group","Group"
"keyvalue_tag_col_groupDesc","Group Description"
"keyvalue_tag_col_value","Value (click to edit...)"
"keyvalue_tag_col_unit","Unit"
"keyvalue_tag_col_metadata","Metadata"
"keyvalue_col_groupdescription","Group"
"keyvalue_col_groupid","GID"
"keyvalue_col_translator","Translator"
"keyvalue_col_metadata","Metadata"
"keyvalue_key_unique","<b>Key must be unique</b>"
"keyvalue_keyvalue_empty","Key&Value must not be empty"
"keyvalue_data_keywidth","Key column width"
"keyvalue_data_groupwidth","Group column width"
"keyvalue_data_groupdescwidth","Group Desc column width"
"keyvalue_data_valuewidth","Value column width"
"keyvalue_data_descwidth","Description column width"
"keyvalue_data_maxheight","Max Height"
"keyValue","Key/Value"
"keyValue_group","Group"
"keyvalue_translators","Translators"
"keyvalue_select_translator","Select Translator"
"keyvalue_data_multivalent","Multivalent"
"keyvalue_data_locked_title","Locked"
"keyvalue_data_locked_msg","This is a multivalent property which cannot be edited in the grid view. Use the object editor instead"
"keyvalue_data_metavisible","Metadata visible"
"keyvalue_data_metawidth","Metadata column width"
"instance_identifier","Instance identifier"
"instance_identifier_info","The instance identifier has to be unique throughout multiple Pimcore instances. UUID generation will be automatically enabled if a Instance identifier is provided (do not change the instance identifier afterwards - this will cause invalid UUIDs)"
"show_metainfo","Info"
"element_metainfo","Meta Information"
"delete_confirm","delete"
"note_details","Note Details"
"element_history","Recently Opened Elements"
"dashboards","Dashboards"
"add_dashboard","Add Dashboard"
"create_new_dashboard","Create Dashboard"
"dashboard_already_exists", "Dashboard with same name already exists!"
"please_enter_the_name_of_the_new_dashboard","Please enter the name of the new Dashboard"
"delete_dashboard","Delete Dashboard"
"really_delete_dashboard","Really delete current dashboard?"
"portlet_customreport", "Custom Report"
"portlet_customreport_settings", "Settings Custom Report"
"restrict_selection_to","Restrict Selection To"
"clear_marker_or_hotspots","Clear Marker, Hotspot and Cropping Data"
"hotspots_cleared","Hotspots, Markers and Cropping Data cleared"
"localized_view_tooltip","Localized View Settings"
"localized_edit_tooltip","Localized Edit Settings"
"localized_view","L-View"
"localized_edit","L-Edit"
"maximum_tabs","Maximum number of tabs"
"deeplink","Deeplink"
"click_to_open","(click to open)"
"delete_selected","Delete selected"
"open_selected","Open selected"
"algorithm","Algorithm"
"salt","Salt"
"saltlocation","Salt location"
"add_metadata","Add Metadata"
"pimcore_icon_edit_pdf_text","Edit text version"
"pimcore_lable_text","Text"
"chapter","Chapter"
"search_and_move","Search & Move"
"custom_layout","Custom Layout"
"layout","Layout"
"custom_layout_definition","Custom Layout Definition"
"configure_custom_layouts","Configure Custom Layouts"
"add_layout","Add Layout"
"delete_layout","Delete Layout"
"enter_the_name_of_the_new_layout","Enter the name of the new layout"
"layout_save_error","Layout could not be saved"
"layout_saved_successfully","Layout saved successfully"
"special_settings","Special Settings"
"special_settings_tooltip","Special Settings"
"custom_layouts","Custom Layouts"
"localized_fields","Localized Fields"
"custom_layout_save_error","Layout could not not be saved"
"searching","Searching..."
"custom_layout_changed","Layout was changed in the meantime. Please reload the layout and try again"
"clone_user","Clone User"
"clone_role","Clone Role"
